"hotel","site","price","check_in_date"
"Hampton Inn Manhattan - Times Square North","BookIt.com","120","2016-01-01"
"Hampton Inn Manhattan-Seaport-Financial District","Expedia","103","2016-01-01"
"Grand Hyatt","priceline.com","143","2016-01-01"
"La Quinta Inn & Suites Manhattan","Official hotel website","104","2016-01-01"
"Royalton","TabletHotels","180","2016-01-01"
"Crowne Plaza Times Square Manhattan","Official hotel website","125","2016-01-01"
"The Leon Hotel","priceline.com","111","2016-01-01"
"Warwick New York","priceline.com","163","2016-01-01"
"TRYP By Wyndham Times Square South","Hoteling","170","2016-01-01"
"Hotel Pennsylvania","Official hotel website","119","2016-01-01"
"Hilton New York","Hotels.com","148","2016-01-01"
"Four Points by Sheraton Manhattan SoHo Village","Orbitz","112","2016-01-01"
"Doubletree Metropolitan","Hotwire","121","2016-01-01"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","BookIt.com","138","2016-01-01"
"Courtyard New York Manhattan - Chelsea","Official hotel website","110","2016-01-01"
"Pod 39","priceline.com","84","2016-01-01"
"Four Points by Sheraton Midtown - Times Square","BookIt.com","98","2016-01-01"
"The Hotel at Times Square","Booking.com","105","2016-01-01"
"Hudson","BookIt.com","111","2016-01-01"
"Park Central","Travelocity","119","2016-01-01"
"Hilton Garden Inn New York - Midtown Park Avenue","priceline.com","","2016-01-01"
"Cassa Times Square","Orbitz","","2016-01-01"
"Hotel 32 32","CheapTickets","162","2016-01-01"
"The Kitano New York","priceline.com","177","2016-01-01"
"Sofitel New York","Official hotel website","237","2016-01-01"
"Hampton Inn Manhattan - Times Square North","Orbitz","120","2016-01-01"
"Hampton Inn Manhattan-Seaport-Financial District","Booking.com","103","2016-01-01"
"Grand Hyatt","Prestigia","146","2016-01-01"
"La Quinta Inn & Suites Manhattan","priceline.com","104","2016-01-01"
"Royalton","priceline.com","182","2016-01-01"
"Crowne Plaza Times Square Manhattan","priceline.com","111","2016-01-01"
"The Leon Hotel","Hotwire","131","2016-01-01"
"Warwick New York","Amoma.com","164","2016-01-01"
"TRYP By Wyndham Times Square South","Travelocity","207","2016-01-01"
"Hotel Pennsylvania","otel.com","87","2016-01-01"
"Hilton New York","priceline.com","148","2016-01-01"
"Four Points by Sheraton Manhattan SoHo Village","BookIt.com","112","2016-01-01"
"Doubletree Metropolitan","priceline.com","121","2016-01-01"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Expedia","138","2016-01-01"
"Courtyard New York Manhattan - Chelsea","Booking.com","110","2016-01-01"
"Pod 39","Hotwire","84","2016-01-01"
"Four Points by Sheraton Midtown - Times Square","Hotels.com","98","2016-01-01"
"The Hotel at Times Square","otel.com","111","2016-01-01"
"Hudson","Venere.com","111","2016-01-01"
"Park Central","priceline.com","119","2016-01-01"
"Hilton Garden Inn New York - Midtown Park Avenue","","","2016-01-01"
"Cassa Times Square","priceline.com","","2016-01-01"
"Hotel 32 32","Orbitz","177","2016-01-01"
"The Kitano New York","Orbitz","177","2016-01-01"
"Sofitel New York","Venere.com","237","2016-01-01"
"Hampton Inn Manhattan - Times Square North","priceline.com","120","2016-01-01"
"Hampton Inn Manhattan-Seaport-Financial District","Orbitz","103","2016-01-01"
"Grand Hyatt","otel.com","153","2016-01-01"
"La Quinta Inn & Suites Manhattan","Hoteling","124","2016-01-01"
"Royalton","Hotwire","193","2016-01-01"
"Crowne Plaza Times Square Manhattan","Hotels.com","125","2016-01-01"
"The Leon Hotel","Hotels.com","132","2016-01-01"
"Warwick New York","GetaRoom","164","2016-01-01"
"TRYP By Wyndham Times Square South","Venere.com","207","2016-01-01"
"Hotel Pennsylvania","BookIt.com","119","2016-01-01"
"Hilton New York","HotelTravel","163","2016-01-01"
"Four Points by Sheraton Manhattan SoHo Village","Hotels.com","112","2016-01-01"
"Doubletree Metropolitan","Orbitz","121","2016-01-01"
"Homewood Suites New York Midtown Manhattan - Times Square Hotel","Orbitz","138","2016-01-01"
"Courtyard New York Manhattan - Chelsea","Hoteling","153","2016-01-01"
"Pod 39","Venere.com","85","2016-01-01"
"Four Points by Sheraton Midtown - Times Square","Expedia","103","2016-01-01"
