"class" "cap-color" "habitat" "ring-number" "odor"
"1" "poison" "brown" "urban" "one" "pungent"
"2" "edible" "yellow" "grasses" "one" "almond"
"3" "edible" "white" "meadows" "one" "anise"
"4" "poison" "white" "urban" "one" "pungent"
"5" "edible" "gray" "grasses" "one" "none"
"6" "edible" "yellow" "grasses" "one" "almond"
"7" "edible" "white" "meadows" "one" "almond"
"8" "edible" "white" "meadows" "one" "anise"
"9" "poison" "white" "grasses" "one" "pungent"
"10" "edible" "yellow" "meadows" "one" "almond"
"11" "edible" "yellow" "grasses" "one" "anise"
"12" "edible" "yellow" "meadows" "one" "almond"
"13" "edible" "yellow" "grasses" "one" "almond"
"14" "poison" "white" "urban" "one" "pungent"
"15" "edible" "brown" "grasses" "one" "none"
"16" "edible" "gray" "urban" "one" "none"
"17" "edible" "white" "grasses" "one" "none"
"18" "poison" "brown" "grasses" "one" "pungent"
"19" "poison" "white" "urban" "one" "pungent"
"20" "poison" "brown" "urban" "one" "pungent"
"21" "edible" "yellow" "meadows" "one" "almond"
"22" "poison" "brown" "grasses" "one" "pungent"
"23" "edible" "yellow" "meadows" "one" "anise"
"24" "edible" "white" "meadows" "one" "almond"
"25" "edible" "white" "meadows" "one" "anise"
"26" "poison" "white" "grasses" "one" "pungent"
"27" "edible" "yellow" "meadows" "one" "almond"
"28" "edible" "white" "meadows" "one" "anise"
"29" "edible" "brown" "urban" "one" "none"
"30" "edible" "yellow" "woods" "one" "almond"
"31" "edible" "yellow" "meadows" "one" "anise"
"32" "poison" "white" "urban" "one" "pungent"
"33" "edible" "yellow" "meadows" "one" "anise"
"34" "edible" "brown" "paths" "one" "anise"
"35" "edible" "yellow" "meadows" "one" "anise"
"36" "edible" "yellow" "woods" "one" "anise"
"37" "edible" "gray" "urban" "one" "none"
"38" "poison" "brown" "urban" "one" "pungent"
"39" "edible" "yellow" "woods" "one" "almond"
"40" "edible" "yellow" "meadows" "one" "anise"
"41" "edible" "yellow" "grasses" "one" "almond"
"42" "edible" "yellow" "paths" "one" "anise"
"43" "edible" "brown" "urban" "one" "none"
"44" "poison" "white" "grasses" "one" "pungent"
"45" "edible" "yellow" "meadows" "one" "almond"
"46" "edible" "white" "grasses" "one" "almond"
"47" "edible" "yellow" "meadows" "one" "anise"
"48" "edible" "white" "meadows" "one" "anise"
"49" "edible" "yellow" "paths" "one" "anise"
"50" "edible" "yellow" "paths" "one" "anise"
"51" "edible" "brown" "grasses" "one" "almond"
"52" "edible" "white" "grasses" "one" "anise"
"53" "edible" "white" "meadows" "one" "anise"
"54" "poison" "brown" "urban" "one" "pungent"
"55" "poison" "white" "urban" "one" "pungent"
"56" "edible" "yellow" "meadows" "one" "almond"
"57" "edible" "gray" "grasses" "one" "none"
"58" "edible" "white" "grasses" "one" "almond"
"59" "edible" "yellow" "grasses" "one" "anise"
"60" "edible" "brown" "paths" "one" "almond"
"61" "edible" "gray" "urban" "one" "none"
"62" "edible" "yellow" "meadows" "one" "almond"
"63" "edible" "yellow" "meadows" "one" "anise"
"64" "edible" "yellow" "meadows" "one" "anise"
"65" "edible" "white" "grasses" "one" "anise"
"66" "edible" "brown" "grasses" "one" "none"
"67" "edible" "white" "grasses" "one" "anise"
"68" "edible" "yellow" "grasses" "one" "almond"
"69" "edible" "yellow" "grasses" "one" "almond"
"70" "edible" "gray" "urban" "one" "none"
"71" "edible" "yellow" "woods" "one" "anise"
"72" "edible" "white" "meadows" "one" "anise"
"73" "edible" "yellow" "woods" "one" "anise"
"74" "edible" "brown" "paths" "one" "almond"
"75" "edible" "yellow" "grasses" "one" "almond"
"76" "edible" "yellow" "woods" "one" "anise"
"77" "edible" "white" "woods" "one" "anise"
"78" "edible" "brown" "paths" "one" "anise"
"79" "poison" "brown" "urban" "one" "pungent"
"80" "edible" "brown" "grasses" "one" "almond"
"81" "edible" "brown" "grasses" "one" "none"
"82" "poison" "white" "grasses" "one" "pungent"
"83" "edible" "gray" "urban" "one" "none"
"84" "edible" "gray" "grasses" "one" "none"
"85" "edible" "yellow" "grasses" "one" "anise"
"86" "edible" "brown" "grasses" "one" "none"
